repo	score	disk_kb	lang	stars	description
shin-k-h/microlisp	8	98	C	13	A lisp interpreter
technosaurus/jsish	8	524	C	13	mirror of jsish - A javascript interpreter with 0install, sqlite and websocket support
AaronCGoidel/SlothLang	8	131	C	12	The World's Greatest Sloth Based Programming Language
brenns10/funlisp	8	241	C	12	Simple, embeddable lisp interpreter
do-aki/php-ext-perl	8	162	C	12	This php extension embeds Perl Interpreter into PHP.
farshield/tachograph_d8	8	10	C	12	Tachograph D8 serial output interpreter
Gyumeijie/an-embedded-c-interpreter	8	81	C	12	a very simple interpreter for c, inspired by c4, but it is embedded
m-ender/orthagonal	8	18	C	12	A two-dimensional programming language from 1994.
nickdrozd/lispinc	8	316	C	12	An "explicit control" Lisp interpreter written in assembly-like C
rkujawa/rk65c02	8	768	C	12	Experimental 65C02 machine code interpreter/emulator/disassembler.
wbhart/Cesium	8	223	C	12	Fast interpreter with LLVM backend.
ArunMichaelDsouza/Zeta	8	495	C	11	Zeta is a command interpreter built purely in C for Windows OS
barak/lysp	8	92	C	11	Tiny, lightweight Lisp interpreter closely following the tradition of the earliest  implementations
csdexter/gcode-canon	8	676	C	11	An attempt at a canonical G-Code interpreter with 100% coverage of the standard
irori/unlambda	8	34	C	11	Unlambda interpreter
ellamental/Lispy	8	192	C	11	Lispy is a very simple Scheme interpreter suitable for someone learning how to write an interpreter.
LuisAlbizo/WardScript	8	298	C	11	A high-level and minimalist programming language
phorward/xpl	8	18	C	11	An eXample Programming Language
uanhi/meet	8	567	C++	11	The Meet Language Interpreter
vibhavp/skeem	8	548	C	11	A Scheme Interpreter written in C
dinglixing/panda-org	8	659	C	10	Panda is  a library to build your compiler/interpreter or embedded in your program. 
eddieantonio/brainmuk	8	69	C	10	brainfuck x86 compiler and interpreter
eshyong/Chip-8-Emulator	8	144	C	10	Interpreter for the Chip 8 Virtual Machine. My first real project in C!
geekscape/aiko_engine	8	384	C	10	Embedded Lisp interpreter for distributed message handling
instead-hub/instead-launcher	8	354	C	10	Game update/launch program for INSTEAD, simple text adventures interpreter.
jondeaton/Lisp	8	502	C	10	Lisp interpreter written in C
numerals/lisp	8	266	C	10	Lisp interpreter in C following www.buildyourownlisp.com
pera/ad-hoc	8	73	C	10	Ad-hoc programming language
